File_Size,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,
100k,16,160,0,1,52.70376564081012,3.140120442708333,,,342,66,0,0,15.833490281300593,15274.740547688802,,,16,160,0,3,43.52364475391127,25.999104817708332,,,16,160,0,6,9.75436166503438,61927.95,,,1296,426,0,0,64.5576418974864,0.20490788966049384,,,1494,17,0,0,31.5765608943304,407.06782889660496,,,1296,426,0,0,64.5576418974864,0.20490788966049384,,,1296,426,0,7,22.267540255080675,3471.913086419753,,,108,366,0,0,68.93203123114019,0.07483758203103022,,,564,15,0,0,33.19478557012001,280.4428121051897,,,108,366,0,0,68.93203123114019,0.07483758203103022,,,108,366,0,7,27.100153092519392,1141.0575819287312,,,
200k,16,320,0,2,43.977233939114555,23.4206787109375,,,171,133,1,0,13.112018939847953,28583.86659749349,,,16,320,0,6,23.546169390090206,2586.4609822591146,,,16,320,0,5,7.51473011172057,103716.97916666667,,,656,853,0,0,61.611517217011524,0.40380449459876544,,,1067,35,1,0,28.530295629890794,820.9057682291667,,,656,853,0,0,61.611517217011524,0.40380449459876544,,,656,853,0,7,19.3071460142696,6864.48987654321,,,200,732,0,0,65.92636639684288,0.14951550451321374,,,1127,30,1,0,30.202754900114172,558.5311255742446,,,200,732,0,0,65.92636639684288,0.14951550451321374,,,200,732,0,7,24.091653362791824,2281.1693830711192,,,
300k,16,0,1,3,36.484255674927475,131.49138590494792,,,0,200,2,0,11.783823324965024,38809.72253417969,,,16,0,1,2,15.34556524911432,17090.95557861328,,,16,0,1,4,6.860174800053279,120588.36041666666,,,16,200,1,0,59.681213047713726,0.6297984182098766,,,640,53,2,0,26.818381257144313,1217.5442235725309,,,16,200,0,1,57.4395171122523,1.055288387345679,,,16,200,1,7,16.66307498535208,12618.721975308643,,,292,1098,0,0,64.16509653855078,0.22429170712958438,,,1690,45,2,0,28.44999369458451,836.2256809644167,,,292,1098,0,0,64.16509653855078,0.22429170712958438,,,292,1098,0,7,22.310869538132753,3437.4462539193314,,,
400k,16,160,1,4,29.209619123929095,702.0385457356771,,,342,266,0,0,11.00854329238703,46394.71818847656,,,16,160,1,5,14.778825329143746,19473.335103352863,,,16,160,1,3,6.705065275289455,124973.04244791667,,,1296,626,1,0,58.14780612993138,0.8964834104938272,,,214,71,0,0,25.583391933075944,1618.0192230902778,,,1296,626,0,1,54.391511832272165,2.1289805169753087,,,1296,626,1,7,14.67743543553236,19933.305679012345,,,384,1464,0,0,62.912279483010316,0.29929187153873077,,,16,61,0,0,27.227856915496247,1107.993413586918,,,384,1464,0,0,62.912279483010316,0.29929187153873077,,,384,1464,0,7,21.057730760332568,4587.222378350019,,,
500k,16,320,1,5,22.906878736452025,2996.642928059896,,,171,333,1,0,10.238659803575096,55393.255533854164,,,16,320,2,0,9.954439932056896,59139.66731363932,,,16,320,1,2,6.598966155336341,128063.76178385416,,,656,1053,1,0,56.99933251467396,1.1678568672839507,,,1707,88,1,0,24.657872518333445,2002.3298350694445,,,656,1053,0,1,52.74574131949467,3.109916570216049,,,656,1053,1,7,13.244551909829259,27724.75259259259,,,476,1830,0,0,61.941612497472136,0.37424983760029873,,,579,76,1,0,26.2164542600523,1398.5482182798128,,,476,1830,0,0,61.941612497472136,0.37424983760029873,,,476,1830,0,7,20.07438290421687,5752.870260723678,,,
600k,16,0,2,6,15.583891384722953,16178.331567382813,,,0,400,2,0,9.54014876070367,65059.09147542318,,,16,0,2,4,9.834660559999655,60793.45338948568,,,16,0,2,1,6.5563562405033835,129326.41720377604,,,16,400,2,0,55.87361700877796,1.513425925925926,,,1280,106,2,0,23.89954962379255,2384.338480902778,,,16,400,0,2,48.17375593620114,8.911427469135802,,,16,400,2,7,13.251262892133964,27681.943703703702,,,568,2196,0,0,61.15181578020593,0.4488914073934428,,,1142,91,2,0,25.446422120809217,1669.8622936391198,,,568,2196,0,0,61.15181578020593,0.4488914073934428,,,568,2196,0,7,19.285462752152114,6898.848297123132,,,
700k,16,160,2,7,7.691803682854589,99573.20863850911,,,342,466,0,0,8.900561913022822,75381.83046061198,,,16,160,2,7,7.689454882488196,99627.07550862631,,,16,160,2,0,6.536161539254851,129929.1856282552,,,1296,826,2,0,54.95460432284838,1.870089699074074,,,854,124,0,0,23.251853522864323,2767.8179277584877,,,1296,826,0,2,46.434675444741345,13.300112847222222,,,1296,826,2,7,12.126474486344968,35865.3787654321,,,660,116,1,0,60.5289535567542,0.5181166091965361,,,1706,106,0,0,24.76496413576685,1953.5586613661158,,,660,116,0,1,59.908961976058094,0.5976221322477946,,,660,116,1,7,18.444389694948264,8373.054168064144,,,
800k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,173,0,1,53.21163593417584,2.7935681905864196,,,427,142,1,0,22.691163282264156,3149.2456785300924,,,656,173,0,3,43.243642093293396,27.730561342592594,,,656,173,0,6,11.16293267954359,44774.38222222222,,,752,482,1,0,59.98184429320179,0.5876766576278172,,,31,122,1,0,24.196043501735605,2226.991298554588,,,752,482,0,1,58.134128334848086,0.8993112718180071,,,752,482,1,7,17.431779912670905,10571.701184549633,,,
900k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,600,0,1,51.43023114225349,4.2101711998456794,,,0,160,2,0,22.202294754664138,3524.4665639467594,,,16,600,0,3,40.5526124839774,51.53017554012346,,,16,600,0,6,10.742283716361655,49328.112592592595,,,844,848,1,0,59.47238548917455,0.6608217388349749,,,594,137,2,0,23.709661293163595,2490.902571505191,,,844,848,0,1,56.87934581417756,1.2005722169002373,,,844,848,1,7,16.655425457996248,12640.967783845084,,,
1000k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,1026,0,1,50.26794145790958,5.502103105709876,,,1494,177,0,0,21.774262873133633,3889.525140817901,,,1296,1026,0,3,39.25450367119136,69.48203076774692,,,1296,1026,0,6,10.298598484300864,54634.002962962964,,,936,1214,1,0,59.16006094335412,0.7100955253676006,,,1158,152,0,0,23.247643552578538,2770.5023000839583,,,936,1214,0,1,55.904551876539166,1.502684070653552,,,936,1214,1,7,16.021634415277667,14627.140357915057,,,
